id,nest,samplingDateTime,Temp,humidityPercentage,Energy,X,Y,Z,isTesting,recordNumber,day
0,TS-NA0009,2024-10-04 09:17:13.549750,30.703125,0,388501.0,65327.0,1171.0,396.0,False,1,9.8484375
1,TS-NA0009,2024-10-04 09:17:13.549750,30.703125,0,385957.0,65324.0,1174.0,396.0,False,2,9.85260416667
2,TS-NA0009,2024-10-04 09:17:13.549750,30.78125,0,387685.0,65327.0,1175.0,396.0,False,3,9.85677083333
3,TS-NA0009,2024-10-04 09:17:13.549750,30.78125,0,390395.0,65324.0,1176.0,398.0,False,4,9.8609375
4,TS-NA0009,2024-10-04 09:17:13.549750,30.703125,0,399416.0,65324.0,1174.0,392.0,False,5,9.86510416667
5,TS-NA0009,2024-10-04 09:17:13.549750,30.546875,0,400225.0,65326.0,1174.0,396.0,False,6,9.86927083333
6,TS-NA0009,2024-10-04 09:17:13.549750,30.4296875,0,401543.0,65324.0,1171.0,396.0,False,7,9.8734375
7,TS-NA0009,2024-10-04 09:17:13.549750,30.3515625,0,390487.0,65324.0,1177.0,390.0,False,8,9.87760416667
8,TS-NA0009,2024-10-04 09:17:13.549750,30.078125,0,387575.0,65321.0,1175.0,399.0,False,9,9.88177083333
9,TS-NA0009,2024-10-04 09:17:13.549750,29.9609375,0,383646.0,65321.0,1175.0,398.0,False,10,9.8859375
10,TS-NA0009,2024-10-04 09:17:13.549750,29.7265625,0,370659.0,65326.0,1176.0,396.0,False,11,9.89010416667
11,TS-NA0009,2024-10-04 09:17:13.549750,29.609375,0,358545.0,65324.0,1176.0,399.0,False,12,9.89427083333
12,TS-NA0009,2024-10-04 09:17:13.549750,29.3359375,0,348774.0,65321.0,1176.0,399.0,False,13,9.8984375
13,TS-NA0009,2024-10-04 09:17:13.549750,29.296875,0,340418.0,65327.0,1171.0,398.0,False,14,9.90260416667
14,TS-NA0009,2024-10-04 09:17:13.549750,29.1015625,0,330896.0,65326.0,1171.0,399.0,False,15,9.90677083333
15,TS-NA0009,2024-10-04 09:17:13.549750,28.984375,0,318377.0,65323.0,1171.0,398.0,False,16,9.9109375
16,TS-NA0009,2024-10-04 09:17:13.549750,28.8671875,0,315334.0,65323.0,1174.0,396.0,False,17,9.91510416667
17,TS-NA0009,2024-10-04 09:17:13.549750,28.8671875,0,303157.0,65323.0,1174.0,398.0,False,18,9.91927083333
18,TS-NA0009,2024-10-04 09:17:13.549750,28.7109375,0,306186.0,65320.0,1176.0,398.0,False,19,9.9234375
19,TS-NA0009,2024-10-04 09:17:13.549750,28.515625,0,295093.0,65323.0,1174.0,399.0,False,20,9.92760416667
20,TS-NA0009,2024-10-04 09:17:13.549750,28.4765625,0,292760.0,65321.0,1171.0,398.0,False,21,9.93177083333
21,TS-NA0009,2024-10-04 09:17:13.549750,28.4765625,0,284168.0,65321.0,1176.0,408.0,False,22,9.9359375
22,TS-NA0009,2024-10-04 09:17:13.549750,28.046875,0,283520.0,65323.0,1176.0,396.0,False,23,9.94010416667
23,TS-NA0009,2024-10-04 09:17:13.549750,28.359375,0,272380.0,65320.0,1177.0,392.0,False,24,9.94427083333
24,TS-NA0009,2024-10-04 09:17:13.549750,28.1640625,0,269119.0,65321.0,1177.0,392.0,False,25,9.9484375
25,TS-NA0009,2024-10-04 09:17:13.549750,28.1640625,0,262738.0,65320.0,1175.0,398.0,False,26,9.95260416667
26,TS-NA0009,2024-10-04 09:17:13.549750,28.1640625,0,257223.0,65321.0,1176.0,391.0,False,27,9.95677083333
27,TS-NA0009,2024-10-04 09:17:13.549750,27.9296875,0,253341.0,65321.0,1175.0,398.0,False,28,9.9609375
28,TS-NA0009,2024-10-04 09:17:13.549750,27.9296875,0,253258.0,65319.0,1175.0,396.0,False,29,9.96510416667
29,TS-NA0009,2024-10-04 09:17:13.549750,27.890625,0,245264.0,65321.0,1176.0,398.0,False,30,9.96927083333
30,TS-NA0009,2024-10-04 09:17:13.549750,27.9296875,0,246817.0,65320.0,1172.0,396.0,False,31,9.9734375
31,TS-NA0009,2024-10-04 09:17:13.549750,27.7734375,0,247978.0,65319.0,1176.0,398.0,False,32,9.97760416667
32,TS-NA0009,2024-10-04 09:17:13.549750,27.7734375,0,246690.0,65320.0,1175.0,396.0,False,33,9.98177083333
33,TS-NA0009,2024-10-04 09:17:13.549750,27.578125,0,239427.0,65324.0,1176.0,403.0,False,34,9.9859375
34,TS-NA0009,2024-10-04 09:17:13.549750,27.6953125,0,235382.0,65323.0,1175.0,398.0,False,35,9.99010416667
35,TS-NA0009,2024-10-04 09:17:13.549750,27.5390625,0,230641.0,65321.0,1180.0,398.0,False,36,9.99427083333
36,TS-NA0009,2024-10-04 09:17:13.549750,27.5390625,0,236813.0,65318.0,1175.0,396.0,False,37,9.9984375
37,TS-NA0009,2024-10-04 09:17:13.549750,27.5390625,0,232752.0,65324.0,1177.0,391.0,False,38,10.0026041667
38,TS-NA0009,2024-10-04 09:17:13.549750,27.4609375,0,232499.0,65319.0,1175.0,401.0,False,39,10.0067708333
39,TS-NA0009,2024-10-04 09:17:13.549750,27.4609375,0,231732.0,65323.0,1176.0,391.0,False,40,10.0109375
40,TS-NA0009,2024-10-04 09:17:13.549750,27.421875,0,228598.0,65318.0,1183.0,396.0,False,41,10.0151041667
41,TS-NA0009,2024-10-04 09:17:13.549750,27.3046875,0,234446.0,65321.0,1177.0,400.0,False,42,10.0192708333
42,TS-NA0009,2024-10-04 09:17:13.549750,27.3046875,0,229844.0,65320.0,1176.0,399.0,False,43,10.0234375
43,TS-NA0009,2024-10-04 09:17:13.549750,27.2265625,0,225038.0,65320.0,1175.0,395.0,False,44,10.0276041667
44,TS-NA0009,2024-10-04 09:17:13.549750,27.2265625,0,225501.0,65319.0,1176.0,396.0,False,45,10.0317708333
45,TS-NA0009,2024-10-04 09:17:13.549750,27.2265625,0,221686.0,65320.0,1175.0,400.0,False,46,10.0359375
46,TS-NA0009,2024-10-04 09:17:13.549750,27.109375,0,220720.0,65321.0,1176.0,396.0,False,47,10.0401041667
